,Row,Vine,Variety,Treatment,Sample.Date,Direction,None,Scorch,Match,Stunt,SC,UnevenL,Dead,BarrenShoot
24,3,21,Tinta Francisca,control,8/16/23,W,0,0,0,1,0,0,0,0
25,3,22,Petit Manseng,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
26,3,23,Petit Manseng,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
27,3,24,Petit Manseng,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
28,3,25,Petit Manseng,Hopland,8/16/23,W,0,1,0,1,0,0,0,0
29,3,26,Petit Manseng,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
30,3,27,Falanghina,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
31,3,28,Falanghina,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
32,3,29,Falanghina,Hopland,8/16/23,W,0,0,0,1,0,0,0,0
33,3,30,Falanghina,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
34,3,31,Falanghina,control,8/16/23,W,1,0,0,0,0,0,0,0
35,4,2,Falanghina,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
36,4,3,Falanghina,control,8/16/23,W,1,0,0,0,0,0,0,0
37,4,4,Falanghina,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
38,4,5,Falanghina,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
39,4,6,Falanghina,Hopland,8/16/23,W,0,0,0,0,0,0,1,0
40,4,7,Greco di Tufo,control,8/16/23,W,1,0,0,0,0,0,0,0
41,4,8,Greco di Tufo,Hopland,8/16/23,W,0,0,0,0,0,0,1,0
42,4,9,Greco di Tufo,Hopland,8/16/23,W,0,0,0,0,0,0,1,0
43,4,10,Greco di Tufo,control,8/16/23,W,1,0,0,0,0,0,0,0
44,4,11,Greco di Tufo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
45,4,12,Albarino,control,8/16/23,W,0,0,0,0,0,0,1,0
46,4,13,Albarino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
47,4,14,Albarino,Hopland,8/16/23,W,0,1,0,1,0,1,0,0
48,4,16,Albarino,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
49,4,22,Albarino,control,8/16/23,W,1,0,0,0,0,0,0,0
50,4,23,Albarino,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
51,4,24,Albarino,Bakersfield,8/16/23,W,0,0,0,1,0,0,0,0
52,4,25,Albarino,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
53,4,26,Albarino,control,8/16/23,W,1,0,0,0,0,0,0,0
54,4,27,Tinta Francisca,control,8/16/23,W,1,0,0,0,0,0,0,0
55,4,28,Tinta Francisca,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
56,4,29,Tinta Francisca,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
57,4,30,Tinta Francisca,control,8/16/23,W,1,0,0,0,0,0,0,0
58,4,31,Tinta Francisca,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
59,4,32,Graciano,Hopland,8/16/23,W,0,1,0,1,0,0,1,0
60,4,33,Graciano,control,8/16/23,W,1,0,0,0,0,0,0,0
61,4,34,Graciano,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
62,4,35,Graciano,Bakersfield,8/16/23,W,0,0,0,0,0,0,1,0
63,4,36,Graciano,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
64,4,37,Ciliegiolo,control,8/16/23,W,1,0,0,0,0,0,0,0
65,4,38,Ciliegiolo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
66,4,39,Ciliegiolo,Hopland,8/16/23,W,0,0,0,1,0,0,0,0
67,4,40,Ciliegiolo,control,8/16/23,W,1,0,0,0,0,0,0,0
68,4,41,Ciliegiolo,control,8/16/23,W,1,0,0,0,0,0,0,0
69,5,2,Ciliegiolo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
70,5,3,Ciliegiolo,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
71,5,4,Ciliegiolo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
72,5,5,Ciliegiolo,control,8/16/23,W,1,0,0,0,0,0,0,0
73,5,6,Ciliegiolo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
74,5,7,Periquita,Hopland,8/16/23,W,0,0,0,1,0,0,1,0
75,5,8,Periquita,Hopland,8/16/23,W,0,1,0,1,0,0,0,0
76,5,9,Periquita,control,8/16/23,W,1,0,0,0,0,0,0,0
77,5,10,Periquita,control,8/16/23,W,1,0,0,0,0,0,0,0
78,5,11,Periquita,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
79,5,12,Ciliegiolo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
80,5,13,Ciliegiolo,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
81,5,14,Ciliegiolo,control,8/16/23,W,1,0,0,0,0,0,0,0
82,5,15,Ciliegiolo,control,8/16/23,W,1,0,0,0,0,0,0,0
83,5,16,Ciliegiolo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
84,5,17,Petit Manseng,control,8/16/23,W,1,0,0,0,0,0,0,0
85,5,18,Petit Manseng,control,8/16/23,W,1,0,0,0,0,0,0,0
86,5,19,Petit Manseng,control,8/16/23,W,1,0,0,0,0,0,0,0
87,5,20,Petit Manseng,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
88,5,22,Greco di Tufo,control,8/16/23,W,1,0,0,0,0,0,0,0
89,5,23,Greco di Tufo,Hopland,8/16/23,W,0,0,0,1,0,0,0,0
90,5,24,Greco di Tufo,control,8/16/23,W,1,0,0,0,0,0,0,0
91,5,25,Greco di Tufo,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
92,5,26,Greco di Tufo,control,8/16/23,W,1,0,0,0,0,0,0,0
93,5,27,Teroldego,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
94,5,28,Teroldego,control,8/16/23,W,1,0,0,0,0,0,0,0
95,5,29,Teroldego,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
96,5,30,Teroldego,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
97,5,31,Teroldego,control,8/16/23,W,1,0,0,0,0,0,0,0
98,5,32,Tinta Amarella,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
99,5,33,Tinta Amarella,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
100,5,34,Tinta Amarella,Hopland,8/16/23,W,0,0,0,1,1,0,0,0
101,5,35,Tinta Amarella,control,8/16/23,W,1,0,0,0,0,0,0,0
102,5,36,Tinta Amarella,control,8/16/23,W,1,0,0,0,0,0,0,0
103,5,37,Falanghina,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
104,5,38,Falanghina,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
105,5,39,Falanghina,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
106,5,40,Falanghina,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
107,5,41,Falanghina,control,8/16/23,W,1,0,0,0,0,0,0,0
108,6,2,Albarino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
109,6,3,Albarino,control,8/16/23,W,1,0,0,0,0,0,0,0
110,6,4,Albarino,Hopland,8/16/23,W,0,0,0,1,0,0,0,0
111,6,5,Albarino,control,8/16/23,W,1,0,0,0,0,0,0,0
112,6,6,Albarino,control,8/16/23,W,1,0,0,0,0,0,0,0
113,6,7,Petit Manseng,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
114,6,8,Petit Manseng,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
115,6,9,Petit Manseng,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
116,6,11,Petit Manseng,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
117,6,12,Teroldego,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
118,6,13,Teroldego,control,8/16/23,W,1,0,0,0,0,0,0,0
119,6,14,Teroldego,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
120,6,15,Teroldego,control,8/16/23,W,1,0,0,0,0,0,0,0
121,6,16,Teroldego,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
122,6,17,Mencia,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
123,6,18,Mencia,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
124,6,19,Mencia,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
125,6,20,Mencia,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
126,6,21,Mencia,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
127,6,22,Tinta Amarella,control,8/16/23,W,1,0,0,0,0,0,0,0
128,6,23,Tinta Amarella,control,8/16/23,W,1,0,0,0,0,0,0,0
129,6,24,Tinta Amarella,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
130,6,25,Tinta Amarella,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
131,6,26,Tinta Amarella,control,8/16/23,W,1,0,0,0,0,0,0,0
132,6,27,Sagrantino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
133,6,28,Sagrantino,control,8/16/23,W,1,0,0,0,0,0,0,0
134,6,29,Sagrantino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
135,6,30,Sagrantino,control,8/16/23,W,1,0,0,0,0,0,0,0
136,6,31,Sagrantino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
137,6,32,Falanghina,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
138,6,33,Falanghina,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
139,6,34,Falanghina,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
140,6,35,Falanghina,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
141,6,36,Falanghina,control,8/16/23,W,1,0,0,0,0,0,0,0
142,6,37,Graciano,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
143,6,38,Graciano,Hopland,8/16/23,W,0,0,0,1,0,0,0,0
144,6,39,Graciano,control,8/16/23,W,1,0,0,0,0,0,0,0
145,6,40,Graciano,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
146,6,41,Graciano,control,8/16/23,W,1,0,0,0,0,0,0,0
147,7,3,Mencia,control,8/16/23,W,1,0,0,0,0,0,0,0
148,7,5,Mencia,Hopland,8/16/23,W,0,0,0,1,0,0,0,0
149,7,6,Mencia,control,8/16/23,W,1,0,0,0,0,0,0,0
150,7,7,Albarino,control,8/16/23,W,1,0,0,0,0,0,0,0
151,7,8,Albarino,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
152,7,10,Albarino,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
153,7,12,Sagrantino,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
154,7,13,Sagrantino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
155,7,14,Sagrantino,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
156,7,15,Sagrantino,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
157,7,16,Sagrantino,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
158,7,17,Graciano,Hopland,8/16/23,W,0,1,0,0,1,0,0,0
159,7,18,Graciano,control,8/16/23,W,1,0,0,0,0,0,0,0
160,7,19,Graciano,control,8/16/23,W,1,0,0,0,0,0,0,0
161,7,20,Graciano,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
162,7,21,Graciano,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
163,7,22,Ciliegiolo,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
164,7,23,Ciliegiolo,control,8/16/23,W,1,0,0,0,0,0,0,0
165,7,24,Ciliegiolo,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
166,7,26,Ciliegiolo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
167,7,32,Albarino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
168,7,33,Albarino,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
169,7,34,Albarino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
170,7,35,Albarino,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
171,7,36,Albarino,Hopland,8/16/23,W,0,0,0,0,0,0,1,0
172,7,37,Greco di Tufo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
173,7,38,Greco di Tufo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
174,7,39,Greco di Tufo,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
175,7,40,Greco di Tufo,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
176,7,41,Greco di Tufo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
177,8,2,Sagrantino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
178,8,4,Sagrantino,control,8/16/23,W,1,0,0,0,0,0,0,0
179,8,5,Sagrantino,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
180,8,6,Sagrantino,Hopland,8/16/23,W,0,0,0,1,0,0,1,0
181,8,7,Falanghina,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
182,8,8,Falanghina,control,8/16/23,W,1,0,0,0,0,0,0,0
183,8,9,Falanghina,control,8/16/23,W,1,0,0,0,0,0,0,0
184,8,10,Falanghina,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
185,8,11,Falanghina,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
186,8,12,Mencia,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
187,8,13,Mencia,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
188,8,15,Mencia,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
189,8,16,Mencia,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
190,8,17,Albarino,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
191,8,18,Albarino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
192,8,19,Albarino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
193,8,21,Albarino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
194,8,22,Periquita,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
195,8,23,Periquita,control,8/16/23,W,1,0,0,0,0,0,0,0
196,8,24,Periquita,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
197,8,25,Periquita,Hopland,8/16/23,W,0,1,0,1,0,0,0,0
198,8,26,Periquita,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
199,8,27,Albarino,control,8/16/23,W,1,0,0,0,0,0,0,0
200,8,28,Albarino,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
201,8,29,Albarino,control,8/16/23,W,1,0,0,0,0,0,0,0
202,8,30,Albarino,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
203,8,32,Tannat,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
204,8,33,Tannat,Bakersfield,8/16/23,W,0,0,0,0,0,0,1,0
205,8,34,Tannat,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
206,8,35,Tannat,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
207,8,36,Tannat,Bakersfield,8/16/23,W,0,0,0,0,0,0,1,0
208,8,37,Periquita,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
209,8,38,Periquita,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
210,8,39,Periquita,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
211,8,40,Periquita,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
212,8,41,Periquita,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
213,9,2,Tannat,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
214,9,3,Tannat,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
215,9,4,Tannat,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
216,9,5,Tannat,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
217,9,6,Tannat,Hopland,8/16/23,W,0,0,0,0,0,0,1,0
218,9,7,Tinta Amarella,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
219,9,8,Tinta Amarella,control,8/16/23,W,1,0,0,0,0,0,0,0
220,9,9,Tinta Amarella,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
221,9,11,Tinta Amarella,control,8/16/23,W,1,0,0,0,0,0,0,0
222,9,12,Petit Manseng,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
223,9,13,Petit Manseng,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
224,9,14,Petit Manseng,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
225,9,15,Petit Manseng,control,8/16/23,W,1,0,0,0,0,0,0,0
226,9,16,Petit Manseng,control,8/16/23,W,1,0,0,0,0,0,0,0
227,9,17,Teroldego,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
228,9,18,Teroldego,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
229,9,19,Teroldego,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
230,9,20,Teroldego,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
231,9,27,Tannat,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
232,9,28,Tannat,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
233,9,29,Tannat,Hopland,8/16/23,W,0,0,0,0,0,0,1,0
234,9,30,Tannat,Hopland,8/16/23,W,0,0,0,0,0,0,1,0
235,9,31,Tannat,control,8/16/23,W,0,0,0,0,0,0,1,0
236,9,32,Periquita,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
237,9,33,Periquita,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
238,9,34,Periquita,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
239,9,35,Periquita,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
240,9,37,Mencia,control,8/16/23,W,0,1,0,0,0,0,0,0
241,9,38,Mencia,control,8/16/23,W,1,0,0,0,0,0,0,0
242,9,39,Mencia,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
243,9,40,Mencia,control,8/16/23,W,1,0,0,0,0,0,0,0
244,9,41,Mencia,control,8/16/23,W,1,0,0,0,0,0,0,0
245,10,2,Periquita,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
246,10,3,Periquita,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
247,10,4,Periquita,control,8/16/23,W,1,0,0,0,0,0,0,0
248,10,5,Periquita,control,8/16/23,W,1,0,0,0,0,0,0,0
249,10,6,Periquita,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
250,10,7,Mencia,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
251,10,8,Mencia,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
252,10,10,Mencia,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
253,10,11,Mencia,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
254,10,17,Greco di Tufo,control,8/16/23,W,1,0,0,0,0,0,0,0
255,10,18,Greco di Tufo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
256,10,19,Greco di Tufo,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
257,10,20,Greco di Tufo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
258,10,21,Greco di Tufo,control,8/16/23,W,1,0,0,0,0,0,0,0
259,10,22,Tinta Francisca,control,8/16/23,W,1,0,0,0,0,0,0,0
260,10,23,Tinta Francisca,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
261,10,24,Tinta Francisca,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
262,10,25,Tinta Francisca,control,8/16/23,W,1,0,0,0,0,0,0,0
263,10,26,Tinta Francisca,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
264,10,27,Petit Manseng,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
265,10,28,Petit Manseng,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
266,10,29,Petit Manseng,control,8/16/23,W,1,0,0,0,0,0,0,0
267,10,30,Petit Manseng,control,8/16/23,W,1,0,0,0,0,0,0,0
268,10,31,Petit Manseng,control,8/16/23,W,1,0,0,0,0,0,0,0
269,10,32,Teroldego,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
270,10,33,Teroldego,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
271,10,34,Teroldego,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
272,10,35,Teroldego,control,8/16/23,W,1,0,0,0,0,0,0,0
273,10,36,Teroldego,control,8/16/23,W,1,0,0,0,0,0,0,0
274,10,37,Tannat,Bakersfield,8/16/23,W,0,0,0,0,0,0,1,0
275,10,38,Tannat,control,8/16/23,W,1,0,0,0,0,0,0,0
276,10,39,Tannat,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
277,10,40,Tannat,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
278,10,41,Tannat,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
279,11,2,Tinta Francisca,Hopland,8/16/23,W,0,0,0,1,0,0,0,0
280,11,3,Tinta Francisca,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
281,11,4,Tinta Francisca,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
282,11,5,Tinta Francisca,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
283,11,6,Tinta Francisca,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
284,11,7,Graciano,control,8/16/23,W,1,0,0,0,0,0,0,0
285,11,8,Graciano,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
286,11,9,Graciano,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
287,11,10,Graciano,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
288,11,11,Graciano,control,8/16/23,W,1,0,0,0,0,0,0,0
289,11,12,Periquita,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
290,11,13,Periquita,control,8/16/23,W,1,0,0,0,0,0,0,0
291,11,14,Periquita,control,8/16/23,W,1,0,0,0,0,0,0,0
292,11,15,Periquita,control,8/16/23,W,1,0,0,0,0,0,0,0
293,11,16,Periquita,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
294,11,17,Tinta Amarella,Hopland,8/16/23,W,0,0,0,0,0,0,1,0
295,11,18,Tinta Amarella,control,8/16/23,W,1,0,0,0,0,0,0,0
296,11,19,Tinta Amarella,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
297,11,20,Tinta Amarella,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
298,11,21,Tinta Amarella,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
299,11,22,Falanghina,control,8/16/23,W,1,0,0,0,0,0,0,0
300,11,23,Falanghina,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
301,11,24,Falanghina,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
302,11,25,Falanghina,control,8/16/23,W,1,0,0,0,0,0,0,0
303,11,26,Falanghina,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
304,11,27,Mencia,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
305,11,28,Mencia,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
306,11,29,Mencia,control,8/16/23,W,1,0,0,0,0,0,0,0
307,11,30,Mencia,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
308,11,31,Mencia,Hopland,8/16/23,W,0,1,0,0,0,0,0,0
309,11,32,Ciliegiolo,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
310,11,33,Ciliegiolo,control,8/16/23,W,1,0,0,0,0,0,0,0
311,11,34,Ciliegiolo,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
312,11,35,Ciliegiolo,control,8/16/23,W,1,0,0,0,0,0,0,0
313,11,36,Ciliegiolo,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
314,11,37,Teroldego,control,8/16/23,W,1,0,0,0,0,0,0,0
315,11,38,Teroldego,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
316,11,39,Teroldego,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
317,11,40,Teroldego,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
318,11,41,Teroldego,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
319,12,2,Petit Manseng,control,8/16/23,W,1,0,0,0,0,0,0,0
320,12,3,Petit Manseng,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
321,12,4,Petit Manseng,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
322,12,5,Petit Manseng,control,8/16/23,W,1,0,0,0,0,0,0,0
323,12,6,Petit Manseng,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
324,12,7,Tinta Francisca,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
325,12,8,Tinta Francisca,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
326,12,9,Tinta Francisca,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
327,12,10,Tinta Francisca,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
328,12,11,Tinta Francisca,Bakersfield,8/16/23,W,1,0,0,0,0,0,0,0
329,12,12,Tannat,Bakersfield,8/16/23,W,0,0,0,1,1,0,1,0
330,12,13,Tannat,control,8/16/23,W,1,0,0,0,0,0,0,0
331,12,14,Tannat,control,8/16/23,W,1,0,0,0,0,0,0,0
332,12,15,Tannat,Bakersfield,8/16/23,W,0,0,0,0,1,0,1,0
333,12,16,Tannat,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
334,12,17,Ciliegiolo,Hopland,8/16/23,W,1,0,0,0,0,0,0,0
